N°;Id annuaire;Nom;TAB;Adresse;CP;Ville;Tel;Fax;Email;Site;Description
90200000;6772;Garnier Jean;TAB;37, r. Joly;94000;Créteil;01 43 77 98 44;;;;
90210000;Infirmiers;;;;;;;;;;
90210000;6773;Aimé Charles;TAB;3, pl. Jean Giraudoux;94000;Créteil;06 20 73 78 96;;;;
90210000;6774;Akrane Naguib;TAB;17, villa Petit Parc;94000;Créteil;01 42 07 19 06;;;;
90210000;6775;Ayivi Viviane;TAB;9, r. Mèches;94000;Créteil;06 63 88 42 34;;;;
90210000;6776;Bah-Kante Marigoulo;TAB;1, r. Ferdinand de Lesseps;94000;Créteil;01 42 07 02 99;;;;
90210000;6777;Bali Karim;TAB;18, r. Gén. Leclerc;94000;Créteil;06 66 05 31 63;;;;
90210000;6778;Ben Younes Yousra;TAB;72, r. Gén. Leclerc;94000;Créteil;06 20 95 53 83;;;;
90210000;6779;Berardier Philippe;TAB;32, av. France Libre;94000;Créteil;01 49 80 50 49;;;;
90210000;6780;Borret Claire;TAB;6, r. Clos de Vougeot;94000;Créteil;01 43 99 11 82;;;;
90210000;6781;Boscheron Nadine;TAB;18, r. Gén. Leclerc;94000;Créteil;06 66 05 31 63;;;;
90210000;6782;Bouzad Fatiha;TAB;2, r. Ferdinand de Lesseps;94000;Créteil;01 48 98 01 74;;;;Joignable également au 06 25 19 61 33 Tous soins infirmiers à domicile 24h/24 et 7 jours sur 7 - Soins spécialisés - Chimiothérapie - Diabète - Soins aux personnes âgées - Garde-malades
90210000;6783;Bredin Françoise;TAB;20, av. Gén. Pierre Billotte;94000;Créteil;01 49 56 06 15;;;;
90210000;6784;Brussieux Christine;TAB;109, r. Chéret;94000;Créteil;01 48 99 28 02;;;;
90210000;6785;Cabinet Créteil Eglise;TAB;2, av. Pierre Brossolette;94000;Créteil;01 48 98 01 74;;;;
90210000;6786;Cabinet Joly;TAB;37, r. Joly;94000;Créteil;06 79 97 27 52;;;;
90210000;6787;Charbel Néhmé;TAB;3, pl. Jean Giraudoux;94000;Créteil;06 20 73 78 96;;;;
90210000;6788;Cheddad Nora;TAB;60, r. Jean Jaurès;94000;Créteil;01 49 81 77 29;;;;
90210000;6789;Cordaro Nathalie;TAB;54, r. Gén. Leclerc;94000;Créteil;01 48 99 14 95;;;;
90210000;6791;Foucart Stéphanie;TAB;9, av. Gén. Pierre Billotte;94000;Créteil;01 43 99 58 49;;;;
90210000;6792;Fouillet Myriam;TAB;2, r. Jules Massenet;94000;Créteil;01 43 77 47 79;;;;
90210000;6793;Hadj-hamdi Ahmed;TAB;17, villa Petit Parc;94000;Créteil;01 42 07 19 06;;;;
90210000;6795;Herpson John;TAB;6, r. Clos de Vougeot;94000;Créteil;01 43 99 11 82;;;;
90210000;14499;Jeannin Nicolas;TAB;1, sq. Jean Esquirol;94000;Créteil;06 62 17 49 45;;;;Tous soins adultes et pédiatriques à domicile: Pansement, Perfusions, Chimiothérapie, Soins Palliatifs, Dialyse, Suivi de diabète etc...
90210000;14651;Jérôme David;TAB;1, sq. Jean Esquirol;94000;Créteil;06 88 92 19 38;;;;
90210000;6796;Joblon Jessica;TAB;37, r. Joly;94000;Créteil;06 79 97 27 52;;;;
90210000;6797;Laborde Emma;TAB;72, r. Gén. Leclerc;94000;Créteil;01 42 07 39 23;;;;
90210000;6798;Lassalle Catherine;TAB;37, r. de Joly;94000;Créteil;06 60 16 70 68;;;;
90210000;6799;Le Mesnil Dany;TAB;54, r. Gén. Leclerc;94000;Créteil;01 48 99 14 95;;;;
90210000;6800;Liheouil Anne;TAB;109, r. Chéret;94000;Créteil;01 48 99 60 19;;;;
90210000;6801;Marceline Muriel;TAB;9, av. Gén. Pierre Billotte;94000;Créteil;01 43 99 58 49;;;;
90210000;6802;Masson Pascale;TAB;72, r. Gén. Leclerc;94000;Créteil;06 71 71 80 66;;;;
90210000;6803;Miriel Catherine;TAB;12, r. Averse;94000;Créteil;01 48 99 85 05;;;;
90210000;6804;Mouly Gilles;TAB;4, r. Léonard Euler;94000;Créteil;01 43 99 29 22;;;;
90210000;6805;Muscedere Stéphanie;TAB;6, r. Clos de Vougeot;94000;Créteil;01 43 99 11 82;;;;
90210000;6806;Pasquier Marie-Christine;TAB;18, r. Gén. Leclerc;94000;Créteil;06 66 05 31 63;;;;
90210000;14489;Rattier Nathalie;TAB;1, sq. Jean Esquirol;94000;Créteil;06 50 00 33 67;;;;Tous soins adultes et pédiatriques à domicile ou au cabinet: - Pansement - Perfusion - Chimiothérapie - Soins palliatifs - Alimentation parentérale - Suivi de diabète
90210000;6807;Rhino Annie;TAB;34, r. de Falkirk;94000;Créteil;06 10 19 88 83;;;;Soins Infirmiers sur rendez-vous au Cabinet ou à votre Domicile. I.D.E en exercice libéral conventionnés CPAM et mutuelles, Tiers Payant, AME, CMU
90210000;6808;Sallandre Françoise;TAB;29, r. Gén. Leclerc;94000;Créteil;01 42 07 81 80;;;;
90210000;6809;SSIAD (Service de Soins Infirmiers à Domicile);TAB;20 bis, av. de Ceinture;94000;Créteil;01 48 98 91 68;;;;
